segment,specialty,state,provider_count,avg_services,avg_payment
High Volume Low Value,"Psychologist, Clinical",FL,111,1910.099099099099,76.94455579587738
Low Volume High Value,Rheumatology,CA,76,269.9736842105263,115.91215645957566
Low Volume Low Value,Gynecological Oncology,CA,23,172.3913043478261,76.7113794897386
Low Volume High Value,Geriatric Psychiatry,FL,1,42.0,114.33
High Volume High Value,Hematology,NY,8,1632.125,108.3733543607236
High Volume Low Value,General Practice,TX,55,3450.8545454545456,58.034190766635184
Low Volume High Value,Internal Medicine,NY,1155,359.02597402597405,123.96873197397638
Low Volume High Value,"Psychologist, Clinical",FL,371,320.6657681940701,114.72450361369252
High Volume Low Value,Clinical Laboratory,CA,273,150925.51978021977,35.39342338936945
High Volume High Value,Nephrology,NY,194,3296.860824742268,145.7741249301289
Low Volume High Value,Interventional Radiology,FL,28,416.92857142857144,327.42782807539504
Low Volume Low Value,Speech Language Pathologist,NY,126,368.9761904761905,68.09584869983003
High Volume Low Value,Infectious Disease,NY,53,13856.509433962265,82.01773216124553
High Volume High Value,Geriatric Psychiatry,CA,2,2144.5,111.03432414213333
Low Volume Low Value,Clinical Laboratory,TX,90,333.24666666666667,40.66233462024994
Low Volume Low Value,Emergency Medicine,PA,998,361.6482965931864,82.32272787018584
High Volume High Value,Dermatology,PA,87,5704.149425287356,166.1838807835774
Low Volume High Value,Ambulance Service Provider,PA,116,594.5465517241379,188.98585600781678
Low Volume Low Value,Anesthesiology Assistant,TX,140,69.46428571428571,62.36756665595837
Low Volume High Value,General Surgery,PA,448,265.7388392857143,193.04071392920306
Low Volume Low Value,Rheumatology,FL,83,441.8433734939759,73.8203632828533
High Volume High Value,Otolaryngology,PA,34,2259.8823529411766,176.142920005334
High Volume Low Value,Home Infusion Therapy Services,NY,3,1969.6666666666667,41.295000904999995
Low Volume Low Value,Hematopoietic Cell Transplantation and Cellular Therapy,FL,8,169.75,87.87290552391666
Low Volume High Value,Certified Registered Nurse Anesthetist (CRNA),PA,691,110.7684515195369,137.27342728474602
Low Volume High Value,Ambulance Service Provider,CA,19,646.5842105263157,228.82560731914648
Low Volume Low Value,General Surgery,NY,501,196.12375249500997,75.89207165599989
High Volume Low Value,Hospitalist,FL,220,1524.9863636363636,85.34764582778946
Low Volume Low Value,Emergency Medicine,TX,2049,380.4192288921425,83.03593688528241
Low Volume Low Value,Psychiatry,FL,694,316.4351585014409,71.57551475954932
Low Volume Low Value,General Practice,PA,68,381.8529411764706,66.34152270526442
High Volume High Value,Micrographic Dermatologic Surgery,TX,15,3686.5333333333333,218.3884987993104
High Volume Low Value,Neurosurgery,CA,4,7439.5,87.54103159356401
High Volume High Value,Gastroenterology,PA,61,1973.4426229508197,120.9964444064025
Low Volume Low Value,Dentist,FL,3,145.0,45.658495745833335
High Volume Low Value,"Psychologist, Clinical",PA,35,1760.1142857142856,80.29428868717567
Low Volume Low Value,Osteopathic Manipulative Medicine,TX,19,355.89473684210526,62.994324907794045
High Volume High Value,Neurosurgery,NY,9,3602.4444444444443,230.07902797856
Low Volume Low Value,Plastic and Reconstructive Surgery,PA,105,151.32380952380953,66.36016048020932
Low Volume Low Value,Pain Management,TX,64,440.9953125,70.43572414335995
High Volume High Value,Physician Assistant,TX,22,2558.590909090909,116.12997375941458
High Volume Low Value,Anesthesiology,TX,98,3506.4591836734694,77.26822559194686
High Volume Low Value,Psychiatry,PA,104,1760.4807692307693,76.51526342725838
Low Volume High Value,Cardiology,PA,47,558.2127659574468,137.581603326596
High Volume Low Value,Sports Medicine,FL,37,7020.972972972973,59.18140087066702
High Volume High Value,Physician Assistant,FL,33,4305.848484848485,129.8595281827409
High Volume Low Value,Physical Therapist in Private Practice,TX,1929,3094.2363919129084,31.630056569873535
High Volume Low Value,Pharmacy,PA,35,372327.92,41.54581158198988
Low Volume Low Value,Urology,CA,189,381.3915343915344,74.11851202338899
Low Volume High Value,Ambulatory Surgical Center,TX,193,436.0362694300518,1669.6461858758867
Low Volume High Value,General Practice,CA,63,237.0793650793651,145.058510327105
High Volume Low Value,Vascular Surgery,FL,17,2199.6470588235293,79.00056589637677
Low Volume Low Value,Clinical Cardiac Electrophysiology,TX,12,385.6666666666667,65.8533406871733
High Volume High Value,Nuclear Medicine,NY,21,3607.3809523809523,366.8638435967046
High Volume Low Value,Maxillofacial Surgery,NY,1,1448.0,77.9573764201
Low Volume High Value,Pharmacy,PA,2,403.5,143.87091659325895
High Volume Low Value,Physical Therapist in Private Practice,NY,3815,3348.911323722149,35.73403238798217
Low Volume Low Value,Emergency Medicine,FL,842,383.24821852731594,83.15058998654952
High Volume Low Value,Endocrinology,CA,237,7376.704641350211,67.43118030972573
Low Volume Low Value,Pediatric Medicine,NY,79,194.64556962025316,62.272028733976946
Low Volume High Value,Colorectal Surgery (Proctology),CA,69,426.92753623188406,141.84606799345846
High Volume Low Value,Pain Management,NY,43,4347.011627906977,79.59389638476347
Low Volume High Value,Anesthesiology,NY,1834,171.8854961832061,153.46657685307687
Low Volume High Value,Endocrinology,NY,92,270.9891304347826,124.65460832465041
High Volume High Value,Infectious Disease,TX,42,2166.690476190476,107.54031708653413
High Volume Low Value,Geriatric Medicine,FL,25,2736.02,65.00849219519085
High Volume High Value,Anesthesiology,FL,71,4782.084507042254,134.81302439964668
High Volume High Value,Diagnostic Radiology,TX,106,21435.66037735849,210.93443052654717
Low Volume High Value,Geriatric Medicine,NY,41,410.4878048780488,120.43577823884311
High Volume High Value,Clinical Laboratory,TX,24,45786.125,246.70225856474096
High Volume Low Value,Endocrinology,PA,82,3929.1585365853657,72.02195550197128
Low Volume High Value,Sports Medicine,TX,3,62.666666666666664,133.67049422916668
Low Volume High Value,Certified Nurse Midwife,FL,1,64.0,101.18449169299998
High Volume Low Value,Ambulance Service Provider,TX,40,9913.602499999999,78.329776184875
High Volume Low Value,Hematology-Oncology,PA,126,58755.00793650794,54.4304214015332
High Volume Low Value,Ophthalmology,TX,250,2347.028,80.82402900227514
Low Volume Low Value,Centralized Flu,PA,66,604.0757575757576,40.91909073663272
High Volume High Value,Urology,NY,175,11980.905714285715,151.75074529961117
Low Volume High Value,Hematology,TX,10,371.6,112.63974939172763
High Volume High Value,Nuclear Medicine,FL,15,54553.53333333333,279.64494002644034
Low Volume High Value,Opioid Treatment Program,FL,15,557.0,176.94936204195557
High Volume High Value,Gynecological Oncology,CA,4,12130.25,190.30202701660264
Low Volume Low Value,Micrographic Dermatologic Surgery,NY,1,820.0,66.14963872631819
High Volume Low Value,Orthopedic Surgery,NY,191,4941.775392670157,67.85941888667313
High Volume High Value,Ambulance Service Provider,TX,489,18465.898773006127,413.7970790937732
Low Volume Low Value,Medical Oncology,CA,67,404.2985074626866,81.1432390117532
High Volume High Value,Interventional Pain Management,PA,4,8060.75,156.75642758112735
Low Volume Low Value,Hand Surgery,PA,13,607.3076923076923,62.50213240594379
Low Volume Low Value,Obstetrics & Gynecology,CA,1187,156.195450716091,65.49398565238062
Low Volume High Value,Anesthesiology,TX,979,147.47906026557712,150.83861688641855
High Volume Low Value,Obstetrics & Gynecology,TX,32,5174.21875,52.06185808535424
Low Volume Low Value,Hospice and Palliative Care,NY,71,287.23943661971833,85.44487039176494
Low Volume Low Value,Hematology,CA,42,367.5952380952381,79.86434499482552
Low Volume Low Value,Advanced Heart Failure and Transplant Cardiology,TX,18,508.27777777777777,80.6966517260137
Low Volume Low Value,Undefined Physician type,CA,17,340.5882352941176,71.11965779828981
High Volume High Value,Diagnostic Radiology,PA,35,22909.257142857143,139.6015909888933
Low Volume High Value,Podiatry,PA,5,557.2,110.78140779325334
Low Volume Low Value,Unknown Supplier/Provider Specialty,PA,1,125.0,17.9130404715
High Volume Low Value,Geriatric Medicine,NY,34,2609.323529411765,73.32324423113037
High Volume High Value,Hand Surgery,FL,46,4540.978260869565,148.34272204685905
Low Volume Low Value,Geriatric Psychiatry,PA,8,373.875,77.19807294202103
Low Volume High Value,Dermatology,PA,28,581.9642857142857,170.97458387355573
High Volume Low Value,Diagnostic Radiology,NY,1527,6915.375965946299,48.867744216497194
Low Volume High Value,Independent Diagnostic Testing Facility (IDTF),TX,88,243.5568181818182,278.1947241100263
Low Volume High Value,Optometry,CA,127,97.30708661417323,116.78653523784682
High Volume Low Value,Plastic and Reconstructive Surgery,NY,8,2101.0,78.3238898455842
High Volume Low Value,Certified Clinical Nurse Specialist,TX,29,2216.689655172414,58.034413821800264
High Volume High Value,Pain Management,TX,70,5458.257142857143,138.68104369595642
High Volume High Value,Cardiac Surgery,FL,5,4071.62,383.2403400508514
Low Volume Low Value,Independent Diagnostic Testing Facility (IDTF),NY,9,319.22222222222223,53.87465157489063
High Volume Low Value,Geriatric Medicine,PA,18,2379.6666666666665,73.82504728273301
Low Volume High Value,Micrographic Dermatologic Surgery,FL,5,614.0,239.29183233849872
High Volume High Value,Obstetrics & Gynecology,NY,30,2329.0333333333333,159.65027474050157
High Volume Low Value,Rheumatology,PA,147,57958.91360544218,51.62959707421659
High Volume Low Value,Occupational Therapist in Private Practice,PA,236,2782.9406779661017,33.595272421651615
Low Volume High Value,Nephrology,CA,203,578.3694581280788,141.64962085512295
High Volume Low Value,General Surgery,TX,39,3081.102564102564,70.17486856362888
High Volume High Value,Physical Medicine and Rehabilitation,CA,75,6430.52,119.3045218231809
High Volume Low Value,Osteopathic Manipulative Medicine,FL,18,4304.388888888889,59.81757221777184
High Volume High Value,Colorectal Surgery (Proctology),NY,8,1422.375,233.7103731759276
High Volume High Value,Medical Oncology,PA,3,1225.3333333333333,105.85594636924598
Low Volume High Value,Orthopedic Surgery,NY,320,454.89375,223.77246121195986
High Volume Low Value,Emergency Medicine,NY,151,2904.264900662252,63.851836748047695
High Volume Low Value,Pulmonary Disease,FL,367,3061.5940054495914,72.05794780972688
Low Volume Low Value,Maxillofacial Surgery,TX,27,60.888888888888886,46.907953073660124
Low Volume High Value,Physical Medicine and Rehabilitation,PA,44,470.5681818181818,115.82719919598622
Low Volume Low Value,Dentist,PA,3,320.0,45.92105576236296
Low Volume Low Value,Hematology-Oncology,CA,240,401.59166666666664,78.20656084052635
Low Volume Low Value,Radiation Oncology,FL,40,404.35,79.01411530846684
Low Volume High Value,Vascular Surgery,TX,94,538.7553191489362,315.6497592416453
High Volume Low Value,Independent Diagnostic Testing Facility (IDTF),PA,11,10576.227272727272,66.56775090596952
Low Volume High Value,Certified Nurse Midwife,PA,1,13.0,120.17076923
Low Volume High Value,Physical Therapist in Private Practice,TX,3,197.66666666666666,119.87889231002778
High Volume Low Value,Dermatology,NY,393,3543.033078880407,77.04736291486122
High Volume Low Value,Nephrology,TX,118,3581.4830508474574,82.74203717806344
High Volume High Value,Ambulatory Surgical Center,PA,112,3112.223214285714,750.164771277695
Low Volume Low Value,Oral Surgery (Dentist only),PA,82,79.65853658536585,55.602200581582935
High Volume Low Value,Opioid Treatment Program,NY,1,1382.0,90.971963906
High Volume Low Value,Critical Care (Intensivists),NY,22,3495.1363636363635,81.11621487397775
Low Volume High Value,Pain Management,PA,12,395.3333333333333,130.00728807427438
Low Volume High Value,Pathology,TX,3,185.66666666666666,115.9453204292639
Low Volume High Value,Hematology,FL,6,178.16666666666666,109.00202837230556
Low Volume High Value,Addiction Medicine,TX,1,108.0,202.08865166500001
High Volume Low Value,Nurse Practitioner,FL,1732,3239.4765011547347,56.693179495738256
Low Volume Low Value,Optometry,TX,1861,232.63406770553465,60.63698112482068
High Volume High Value,"Psychologist, Clinical",CA,48,1709.3333333333333,115.01989750071102
High Volume High Value,Gastroenterology,CA,353,1996.9461756373937,120.09344487404933
Low Volume High Value,Hematology-Oncology,FL,93,408.3763440860215,113.28950263799526
High Volume Low Value,Optometry,FL,280,2083.832142857143,54.00796260645738
Low Volume Low Value,Orthopedic Surgery,NY,431,313.4756380510441,67.15155249086233
High Volume Low Value,Orthopedic Surgery,FL,213,4537.025821596244,62.81273496405943
Low Volume Low Value,Geriatric Medicine,TX,69,419.0,78.01747237891162
High Volume High Value,Neuropsychiatry,FL,2,6919.5,104.29087365465739
High Volume High Value,Rheumatology,FL,3,30561.333333333332,120.40806941126154
Low Volume High Value,Nurse Practitioner,CA,538,144.2546468401487,124.87901173063788
Low Volume Low Value,Chiropractic,NY,1231,391.71892770105603,23.270470359368367
Low Volume Low Value,Audiologist,PA,335,238.77910447761195,22.45246244734782
High Volume High Value,Psychiatry,FL,32,2394.40625,114.47230417867863
High Volume High Value,Opioid Treatment Program,PA,19,1604.3684210526317,134.23610750745175
Low Volume High Value,Clinical Cardiac Electrophysiology,TX,12,586.5833333333334,163.67350626932924
Low Volume Low Value,Ambulance Service Provider,NY,6,144.5,7.400174326183333
Low Volume Low Value,Ambulance Service Provider,TX,12,623.8166666666667,47.537338105391676
Low Volume High Value,Hematopoietic Cell Transplantation and Cellular Therapy,CA,5,265.2,117.45712163518333
High Volume High Value,Hospice and Palliative Care,CA,5,2410.4,111.79984064167084
Low Volume Low Value,Diagnostic Radiology,TX,535,465.21682242990653,38.14822227769492
Low Volume Low Value,Internal Medicine,NY,4028,384.5825719960278,69.27977111465812
High Volume Low Value,Hospitalist,CA,181,2821.5414364640883,87.53338757404421
High Volume High Value,Neurology,PA,31,7007.387096774193,114.90350229152227
Low Volume High Value,Nephrology,NY,252,556.0119047619048,149.14088826189518
High Volume Low Value,Anesthesiology,CA,71,4770.471830985915,81.66620175400938
High Volume Low Value,Dermatology,CA,521,3854.3109404990405,76.40943624195872
Low Volume Low Value,Clinical Cardiac Electrophysiology,CA,21,365.95238095238096,49.69372122262697
High Volume Low Value,Osteopathic Manipulative Medicine,TX,9,1965.888888888889,63.46446105485792
High Volume Low Value,Thoracic Surgery,FL,4,2282.75,70.71591336275235
High Volume Low Value,Licensed Clinical Social Worker,PA,18,1768.4444444444443,62.95348281455668
High Volume High Value,Diagnostic Radiology,FL,229,32737.781659388645,162.8767607152705
High Volume Low Value,Sports Medicine,PA,50,5382.272,63.35749297338465
High Volume Low Value,Physical Medicine and Rehabilitation,NY,258,4908.4631782945735,75.6979751581729
Low Volume Low Value,Diagnostic Radiology,CA,871,283.1446613088404,35.303276238937876
High Volume High Value,Hematology-Oncology,NY,47,1924.2340425531916,113.45418680269199
Low Volume Low Value,Physical Medicine and Rehabilitation,NY,285,377.94736842105266,74.73816143777928
High Volume Low Value,Independent Diagnostic Testing Facility (IDTF),CA,19,44558.84210526316,64.84492180686713
High Volume High Value,Certified Registered Nurse Anesthetist (CRNA),TX,4,2453.25,133.39083772209284
High Volume High Value,Cardiac Surgery,NY,2,1273.0,296.7718941414649
High Volume Low Value,Nurse Practitioner,NY,758,3148.664907651715,55.3055262677188
High Volume Low Value,Optometry,TX,175,1761.1942857142858,51.82250544733331
Low Volume High Value,Pathology,NY,2,146.0,556.5106612374999
Low Volume High Value,Geriatric Psychiatry,CA,4,367.75,115.46079485009167
Low Volume Low Value,Medical Oncology,NY,151,347.6026490066225,83.1931745879658
Low Volume Low Value,Undersea and Hyperbaric Medicine,TX,7,341.14285714285717,72.6940718556352
High Volume Low Value,Licensed Clinical Social Worker,NY,73,1831.945205479452,69.45344077793379
Low Volume Low Value,Ambulance Service Provider,PA,15,379.1933333333333,20.153501551843338
Low Volume High Value,Advanced Heart Failure and Transplant Cardiology,PA,6,539.5,112.10410228286923
High Volume High Value,Advanced Heart Failure and Transplant Cardiology,FL,3,1751.0,107.23422852541667
Low Volume Low Value,Physician Assistant,FL,3804,269.3205047318612,60.455964143552286
High Volume Low Value,Advanced Heart Failure and Transplant Cardiology,CA,25,2184.48,77.96529783162053
High Volume Low Value,Chiropractic,TX,176,1525.2443181818182,26.229060447649058
High Volume Low Value,Pathology,TX,550,4284.508181818182,35.068524278057005
Low Volume High Value,Anesthesiology,PA,479,165.27766179540708,142.68439723343369
Low Volume High Value,Vascular Surgery,NY,73,522.4520547945206,268.2629850220592
High Volume Low Value,Psychiatry,FL,142,2146.330985915493,81.96580032910084
High Volume Low Value,Critical Care (Intensivists),CA,36,2455.777777777778,82.97290693462627
High Volume High Value,"Psychologist, Clinical",PA,11,1292.3636363636363,110.59536346890908
Low Volume Low Value,Endocrinology,CA,239,399.98744769874475,73.46644085042472
High Volume High Value,Ophthalmology,FL,612,6661.408496732026,153.27157622879133
High Volume Low Value,Medical Oncology,TX,196,56408.52551020408,55.35211451961802
High Volume Low Value,General Practice,FL,119,4855.789915966387,64.07728360810168
Low Volume Low Value,Plastic and Reconstructive Surgery,FL,86,135.24418604651163,73.28754056458502
Low Volume High Value,Geriatric Medicine,CA,44,377.95454545454544,113.46170559328056
Low Volume Low Value,Oral Surgery (Dentist only),NY,38,109.5,68.60726695627147
Low Volume High Value,Physical Medicine and Rehabilitation,FL,35,404.8,116.73590517668454
High Volume Low Value,Speech Language Pathologist,FL,16,2459.0,77.12027209025818
High Volume Low Value,Portable X-Ray Supplier,PA,8,19815.125,22.59861319955541
Low Volume Low Value,Physician Assistant,NY,5492,227.25245812090313,57.57708831146322
Low Volume High Value,Plastic and Reconstructive Surgery,CA,147,166.8639455782313,185.6322123319864
Low Volume Low Value,Gastroenterology,TX,377,424.2679045092838,87.41929938523927
High Volume High Value,Gastroenterology,NY,214,1823.6588785046729,155.0939326535415
Low Volume Low Value,Clinical Cardiac Electrophysiology,NY,17,490.70588235294116,63.275971890233144
High Volume High Value,Infectious Disease,NY,65,2897.1692307692306,115.8130551150201
Low Volume High Value,Pathology,CA,2,385.0,130.86026983641668
High Volume High Value,Hospitalist,PA,32,1720.6875,110.44622376975462
Low Volume Low Value,Undersea and Hyperbaric Medicine,PA,2,338.0,53.411804825000004
High Volume Low Value,Opioid Treatment Program,TX,3,1883.0,69.79421242957778
High Volume High Value,Clinical Laboratory,NY,8,52532.75,145.4582819495552
Low Volume High Value,Clinical Laboratory,PA,3,168.0,352.1291716014444
High Volume Low Value,Hand Surgery,PA,20,2214.35,77.90842512653853
Low Volume Low Value,Sleep Medicine,PA,24,287.1666666666667,83.79534134996348
Low Volume High Value,Geriatric Medicine,TX,11,388.27272727272725,113.20636965288763
Low Volume Low Value,Public Health or Welfare Agency,TX,2,126.5,33.602752066166666
High Volume Low Value,Hematology-Oncology,TX,291,53045.907216494845,58.857140137586754
High Volume High Value,Emergency Medicine,PA,29,1589.5172413793102,143.7243522112306
Low Volume Low Value,Clinical Laboratory,CA,39,384.87179487179486,43.17308757930214
Low Volume High Value,Pain Management,CA,27,313.85185185185185,133.642091655573
Low Volume High Value,Interventional Pain Management,NY,7,407.7142857142857,135.8527953342551
Low Volume Low Value,Family Practice,FL,2690,386.13568773234203,64.39399088489371
Low Volume Low Value,Anesthesiology,CA,938,143.64392324093816,70.02997037009034
High Volume Low Value,Occupational Therapist in Private Practice,NY,573,3321.303664921466,36.84557391873178
Low Volume Low Value,Audiologist,TX,429,242.44289044289044,23.24971714039539
High Volume High Value,Orthopedic Surgery,TX,550,3792.1865454545455,182.24873528097928
High Volume Low Value,Podiatry,PA,641,2762.8843993759747,51.50320622224927
Low Volume High Value,Radiation Oncology,TX,65,598.2,136.40030274679228
High Volume High Value,Pulmonary Disease,FL,66,3669.3030303030305,119.9278254574216
High Volume Low Value,Interventional Radiology,PA,30,2995.04,50.73863076814476
Low Volume Low Value,Cardiac Surgery,CA,7,221.71428571428572,65.4588326034481
Low Volume Low Value,Advanced Heart Failure and Transplant Cardiology,FL,13,579.3076923076923,81.80510153902756
Low Volume High Value,Ophthalmology,CA,204,488.8235294117647,158.79533820037787
Low Volume Low Value,Neurosurgery,FL,106,183.61320754716982,78.68051837943965
Low Volume High Value,Opioid Treatment Program,PA,29,599.3448275862069,191.09090968778162
Low Volume High Value,Diagnostic Radiology,FL,51,359.3803921568628,194.62612943698304
High Volume High Value,Critical Care (Intensivists),PA,2,1313.5,109.08140553836176
Low Volume Low Value,Portable X-Ray Supplier,NY,2,69.5,70.19413879985
Low Volume Low Value,Internal Medicine,FL,3084,431.4049935149157,71.8446414617191
High Volume Low Value,Psychiatry,CA,238,2658.831932773109,80.31787021764714
High Volume Low Value,Family Practice,NY,925,3317.646702702703,57.190178172431324
Low Volume Low Value,Hospitalist,NY,651,444.7511520737327,81.53639824198612
High Volume Low Value,Diagnostic Radiology,PA,1194,4468.218174204355,38.70775479013621
High Volume Low Value,Obstetrics & Gynecology,CA,69,3992.5652173913045,68.32053987291276
Low Volume Low Value,Cardiac Surgery,TX,6,462.1666666666667,85.85230091691096
Low Volume High Value,Opioid Treatment Program,CA,40,576.425,188.8614543966375
High Volume Low Value,Hand Surgery,TX,25,1944.52,75.29512728745397
Low Volume High Value,Licensed Clinical Social Worker,CA,33,155.8181818181818,105.77640510540911
High Volume High Value,Micrographic Dermatologic Surgery,CA,21,3821.0476190476193,219.10787896951456
High Volume Low Value,Addiction Medicine,CA,1,3668.0,24.78075143402353
High Volume High Value,Radiation Oncology,TX,188,7938.994680851064,192.94351823544693
Low Volume High Value,Psychiatry,NY,369,210.4959349593496,124.76045777323476
High Volume Low Value,Occupational Therapist in Private Practice,FL,301,3375.9966777408636,32.91846533288707
High Volume High Value,Family Practice,CA,92,2639.728260869565,118.93202756204744
High Volume High Value,Interventional Pain Management,TX,70,5663.785714285715,130.47091600885827
Low Volume High Value,Interventional Pain Management,FL,17,515.2352941176471,115.65396349845702
Low Volume High Value,Pharmacy,FL,3,374.0,392.3191163016666
High Volume High Value,Geriatric Medicine,CA,7,8913.57142857143,110.88503701642479
Low Volume Low Value,Clinical Laboratory,PA,15,356.8,35.13292538097083
Low Volume High Value,Emergency Medicine,NY,2067,319.96129656507014,126.92457066949649
Low Volume High Value,Cardiology,FL,80,535.7375,157.97654780161207
Low Volume High Value,Orthopedic Surgery,CA,497,431.0020120724346,232.76072011820867
High Volume Low Value,Physician Assistant,PA,350,2988.1711428571425,53.7398043658039
High Volume Low Value,Nephrology,CA,112,7112.258928571428,74.0084653154001
High Volume High Value,Neurology,TX,155,6253.3967741935485,127.97177890521955
Low Volume High Value,Gastroenterology,CA,589,529.528013582343,119.72865614789855
Low Volume High Value,Ambulatory Surgical Center,NY,73,403.06849315068496,773.3931283379484
Low Volume High Value,Vascular Surgery,FL,80,430.7,175.76760939605802
Low Volume Low Value,Thoracic Surgery,NY,38,186.6315789473684,75.64737557114873
High Volume Low Value,Interventional Pain Management,PA,18,4978.777777777777,79.02186194691325
High Volume Low Value,Registered Dietitian or Nutrition Professional,NY,3,1694.0,31.161758012000004
Low Volume Low Value,Home Infusion Therapy Services,NY,2,717.5,45.7584608105
Low Volume Low Value,Psychiatry,TX,770,258.88051948051947,66.97038022128407
High Volume High Value,General Surgery,FL,67,2024.910447761194,246.66210132165784
Low Volume Low Value,Hand Surgery,TX,40,360.1,65.77032417420958
Low Volume Low Value,Allergy/ Immunology,NY,83,372.34939759036143,62.7241419359312
High Volume Low Value,Portable X-Ray Supplier,FL,14,21166.714285714286,26.802353152834797
Low Volume High Value,Maxillofacial Surgery,CA,8,214.625,321.57571398176447
Low Volume High Value,General Surgery,TX,662,230.76586102719034,191.33649704132813
Low Volume Low Value,Infectious Disease,PA,185,369.8216216216216,82.82516329088075
Low Volume High Value,Cardiac Surgery,CA,102,250.4607843137255,384.6878125414076
Low Volume High Value,Pulmonary Disease,PA,89,296.24719101123594,121.95260205370258
